1, 166.81, 32.7
2, 168.71, 33.0
3, 170.69, 33.3
4, 173.44, 33.7
5, 175.40, 34.1
6, 177.29, 34.3
7, 178.66, 34.7
8, 179.82, 34.9
9, 180.25, 35.0
10, 181.10, 35.2
11, 180.79, 35.1
12, 179.45, 34.8
13, 178.38, 34.7
14, 176.73, 34.6
15, 173.98, 34.3
16, 171.71, 34.1
17, 168.92, 33.5
18, 166.37, 32.7
19, 163.86, 32.0
20, 160.53, 31.2
21, 157.93, 30.6
22, 154.46, 30.0
23, 151.18, 29.3
24, 133.60, 25.9
25, 138.34, 26.8
26, 142.83, 27.6
27, 147.34, 28.4
28, 151.42, 29.3
29, 155.81, 30.3
30, 159.59, 30.9
31, 164.14, 31.7
32, 168.01, 32.6
33, 171.24, 33.3
34, 174.69, 34.0
35, 176.47, 34.5
36, 179.34, 35.1
37, 180.73, 35.4
38, 181.96, 35.9
39, 182.45, 36.0
40, 183.00, 36.2
41, 182.68, 36.3
42, 182.54, 36.4
43, 181.23, 36.2
44, 180.00, 36.1
45, 177.57, 35.7
46, 174.96, 35.3
47, 172.52, 34.9
48, 169.54, 34.4
49, 166.01, 33.8
50, 161.29, 32.9
51, 157.72, 32.2
52, 152.46, 31.0
53, 148.49, 30.2
54, 145.50, 29.5
55, 142.91, 28.8
56, 141.36, 28.5
57, 141.24, 28.3
58, 141.79, 28.4
59, 143.55, 28.7
60, 145.70, 29.0
61, 147.53, 29.4
62, 149.81, 29.7
63, 152.37, 30.1
64, 155.34, 30.5
65, 158.03, 31.0
66, 145.14, 28.1
67, 162.70, 31.8
68, 165.34, 32.5
69, 167.22, 32.9
70, 169.09, 33.0
71, 174.92, 34.0
72, 176.81, 34.2
73, 151.05, 29.7
74, 180.03, 34.9
75, 180.10, 35.0
76, 181.10, 35.1
77, 180.88, 35.1
78, 180.57, 35.0
79, 178.29, 34.7
80, 177.19, 34.6
81, 174.75, 34.5
82, 172.23, 34.3
83, 169.25, 33.7
84, 166.98, 33.0
85, 164.31, 32.2
86, 160.77, 31.4
87, 158.03, 30.7
88, 155.16, 30.1
89, 152.92, 29.6
90, 132.33, 25.7
91, 137.54, 26.6
92, 141.61, 27.3
93, 146.28, 28.2
94, 151.05, 29.2
95, 155.43, 30.1
96, 159.16, 30.8
97, 163.68, 31.6
98, 166.83, 32.4
99, 170.66, 33.2
100, 173.41, 33.8
101, 176.16, 34.4
102, 178.57, 35.0
103, 180.19, 35.3
104, 181.39, 35.7
105, 182.46, 36.0
106, 182.81, 36.1
107, 182.95, 36.3
108, 182.64, 36.3
109, 181.40, 36.2
110, 179.45, 35.9
111, 177.54, 35.7
112, 174.81, 35.3
113, 172.71, 35.0
114, 169.73, 34.5
115, 166.37, 33.8
116, 162.49, 33.1
117, 157.80, 32.2
118, 151.60, 30.8
119, 147.72, 30.0
120, 145.04, 29.4
121, 142.59, 28.8
122, 141.51, 28.5
123, 141.08, 28.3
124, 142.11, 28.5
125, 142.97, 28.6
126, 144.58, 28.8
127, 146.27, 29.1
128, 148.14, 29.4
129, 150.90, 29.8
130, 153.74, 30.3
131, 156.26, 30.7
132, 159.55, 31.1
133, 128.29, 25.2
134, 164.08, 32.1
135, 166.08, 32.6
136, 169.32, 33.1
137, 170.25, 33.2
138, 173.66, 33.7
139, 175.45, 34.0
140, 177.66, 34.4
141, 179.14, 34.7
142, 153.96, 29.5
143, 180.88, 35.1
144, 181.09, 35.1
145, 180.43, 35.0
146, 179.01, 34.7
147, 177.79, 34.6
148, 175.55, 34.6
149, 173.13, 34.3
150, 170.53, 33.9

